file,image_type,face_id,dominant_1,percent_1,dominant_2,percent_2,skin_tone,tone_label,accuracy(0-100),source
119diegpan.jpg,color,1.0,#D1A799,0.66,#7E5E57,0.34,#BE9D86,9.0,87.4,ine
119gabrmc,119gabrmc.jpg is not found or is not a valid image.,,,,,,,,,ine
119ricapve.jpg,color,1.0,#9F6C5D,0.56,#714034,0.44,#876249,3.0,89.61,ine
120beatmor.jpg,color,,#CEA38D,0.75,#65483C,0.25,#BE9D86,9.0,88.35,ine
120coyomc.jpg,color,,#704B33,0.8,#A5836D,0.2,#775741,2.0,93.05,ine
120eduapve.jpg,color,1.0,#88664D,0.59,#CD9275,0.41,#946C51,4.0,91.46,ine
120eneimc,120eneimc.jpg is not found or is not a valid image.,,,,,,,,,ine
120guilpt.jpg,color,,#D69C83,0.62,#885841,0.38,#B1886C,7.0,87.4,ine
120ivetpan.jpg,color,,#D29C7D,0.57,#714428,0.43,#A87F64,6.0,84.48,ine
120jfemor.jpg,color,1.0,#744E4C,0.55,#9C6E6B,0.45,#876249,3.0,87.63,ine
120malpve.jpg,color,1.0,#DF8C6A,0.57,#733E29,0.43,#A0765A,5.0,83.35,ine
120manupan.jpg,color,1.0,#BA9B89,0.71,#8A6B5D,0.29,#BE9D86,9.0,93.27,ine
120yuript.jpg,color,1.0,#C7906F,0.85,#6C4E3F,0.15,#B1886C,7.0,91.99,ine
121adelmc,121adelmc.jpg is not found or is not a valid image.,,,,,,,,,ine
121celepve.jpg,color,1.0,#E1947D,0.61,#6D3E32,0.39,#A87F64,6.0,82.41,ine
121mairpan,121mairpan.jpg is not found or is not a valid image.,,,,,,,,,ine
122guilpan.jpg,color,,#C5A396,0.59,#A78377,0.41,#BE9D86,9.0,93.05,ine
122victmc,122victmc.jpg is not found or is not a valid image.,,,,,,,,,ine
122yolopve.jpg,color,1.0,#DDAB95,0.64,#6E4D43,0.36,#BE9D86,9.0,84.07,ine
123elizpan.jpg,color,1.0,#D58F71,0.62,#834E44,0.38,#A87F64,6.0,86.18,ine
123luzmc,123luzmc.jpg is not found or is not a valid image.,,,,,,,,,ine
123madpve.jpg,color,1.0,#DEA78E,0.59,#734A3C,0.41,#B1886C,7.0,83.25,ine
